batch_id,batch_phase,batch_status,candidate_id,factor_family,logic_formula,params_json,data_tier,data_source,result_ic_mean,result_ic_std,result_sharpe_mean,result_win_rate_mean,result_valid_segments,result_total_segments,result_status,result_run_dir,note
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_077,logic100_077,+0.50*low_vol +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_078,logic100_078,+0.50*low_vol +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_079,logic100_079,+0.50*low_vol +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_080,logic100_080,+0.50*low_vol +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_081,logic100_081,+0.50*low_vol +0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_082,logic100_082,+0.50*low_vol -0.50*quality_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_083,logic100_083,+0.50*low_vol +0.50*value_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_084,logic100_084,-0.50*size +0.50*turnover_shock,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_085,logic100_085,-0.50*size +0.50*vol_regime,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_086,logic100_086,+0.50*quality_component -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_087,logic100_087,+0.50*quality_component -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_088,logic100_088,+0.50*quality_component -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_089,logic100_089,+0.50*quality_component -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_090,logic100_090,-0.50*quality_component -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_091,logic100_091,-0.50*size +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_092,logic100_092,-0.50*size +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_093,logic100_093,-0.50*size +0.50*value_component,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_094,logic100_094,+0.50*quality_metric_trend -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_095,logic100_095,+0.50*quality_metric_trend -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_096,logic100_096,+0.50*quality_metric_trend -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_097,logic100_097,+0.50*quality_metric_trend -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_098,logic100_098,-0.50*quality_metric_trend -0.50*size,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_099,logic100_099,-0.50*size +0.50*value_metric_trend,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
batchA100_logic100_v1,single_factor_screen,ready_for_review,logic100_100,logic100_100,+0.50*turnover_shock +0.50*vol_regime,{},core,combo_v2_multi_source,,,,,,,not_run,,"Logic100 distinct-formula candidate (single spec, no param grid)"
