symbol,score,rank
CTSH,0.6610269833116871,268
TPB,0.6591883489812304,269
CECO,0.6588626438425247,270
LEA,0.6588438518206094,271
TROW,0.6577408861057878,272
NOC,0.6542880669248406,273
FRPT,0.6496132340142226,274
JOE,0.645297641161823,275
ISRG,0.6435579573345039,276
MC,0.6416066121085827,277
TARS,0.6414687474777092,278
IEP,0.6385451873530724,279
CPRX,0.6363538353795711,280
MRP,0.6337234177741056,281
PRU,0.6334760563722426,282
DBRG,0.6333685791244812,283
LXP,0.6332857964313239,284
OMC,0.6330260643789556,285
KNX,0.6327346644715748,286
MGM,0.631696046077499,287
GBDC,0.6308736878701205,288
LVS,0.630739347606026,289
ACAD,0.6304410517064658,290
DG,0.6299363389041486,291
DCI,0.6272466735274307,292
AZZ,0.6204861876018511,293
LUMN,0.6196178205450038,294
BKV,0.6133727369058201,295
SCI,0.6120765444376055,296
REGN,0.6016109306597719,297
SSD,0.5995752982401206,298
PLD,0.5989871545164221,299
CBOE,0.5977618868847793,300
XMTR,0.5949800343453093,301
DVN,0.5920385038112826,302
CG,0.5887638501552773,303
INGR,0.5887215817947056,304
COCO,0.5856956173399234,305
SAM,0.5855009560385536,306
EEFT,0.5849066823898473,307
ROL,0.5825380485743417,308
SHC,0.5824184378287782,309
CUBI,0.5761250200531873,310
SXI,0.5720601543984659,311
PVH,0.5716513417451295,312
HP,0.5675858345157188,313
ELV,0.5651280946603646,314
YETI,0.5648346532485651,315
SEI,0.5646713687424362,316
EVR,0.5611505228349254,317
FROG,0.559769606391573,318
TPG,0.5579259320341587,319
SJM,0.5572079115513938,320
GNTX,0.5570602821036459,321
TEX,0.5550136995218,322
SKYW,0.5483878352867583,323
AMRX,0.544805787818313,324
KTB,0.5439609036339638,325
ATMU,0.5420314940866339,326
MPC,0.5413095285553947,327
BSM,0.54040225159818,328
OGE,0.5397686775993458,329
ASO,0.5392560866195185,330
CPAY,0.5382976146152287,331
DBX,0.5382062081449939,332
KNF,0.5357882846710734,333
AMAT,0.5343222612673338,334
GPN,0.5321013344737804,335
ARW,0.5291832402323299,336
REYN,0.528437674707457,337
CF,0.5268268392253166,338
VSEC,0.5263322321666616,339
SIGI,0.5255524201420114,340
GEV,0.523945770479955,341
PTCT,0.5214685115955361,342
KEX,0.5194115570243194,343
IBKR,0.51830028113536,344
HXL,0.5164330084729383,345
PAGP,0.515084228636046,346
EBAY,0.5149038463777972,347
SAIC,0.5131933964996436,348
ACT,0.5122962516888135,349
TMDX,0.5115297736916018,350
LAUR,0.5108886763783179,351
BWXT,0.5034319668345104,352
APLE,0.5024017553894469,353
DINO,0.4990972345659794,354
NDAQ,0.4977629548630791,355
HPQ,0.4960831549769148,356
MMS,0.4956612138636863,357
FBIN,0.4953909164766326,358
IBM,0.4920563007078687,359
GS,0.4850469658224794,360
BG,0.483795809546006,361
THG,0.4834499094101411,362
DY,0.4811133859832444,363
MPLX,0.4809651078596965,364
INGM,0.4808966394134938,365
HIW,0.4806402196705061,366
UHAL,0.4777956751303271,367
OII,0.4751697588695374,368
FCN,0.4742024802642014,369
CRS,0.4717478940029833,370
DD,0.4681552719735826,371
CNX,0.4678039211304324,372
RH,0.4673368367153143,373
CRUS,0.4666942520475579,374
TRNO,0.4596918100132998,375
LKQ,0.4590071478708363,376
APH,0.4580861923722064,377
ALAB,0.4551204819996027,378
T,0.4538607201435694,379
NVST,0.4462382650260906,380
WK,0.4460801487972782,381
POR,0.445138306850362,382
EXAS,0.4430780324744015,383
AXTA,0.4425114172220868,384
HASI,0.4399809937208818,385
SSNC,0.4397983065378798,386
MMSI,0.4397086529092407,387
SLM,0.4356437192159018,388
SWK,0.4331125535970641,389
RKT,0.4327957312809824,390
IONS,0.4318488687662912,391
OSK,0.4283567048122135,392
CHRW,0.4267790442748509,393
NYT,0.4261377749920559,394
SNDR,0.4221514283089518,395
DAR,0.421678835534083,396
VZ,0.4183538319891572,397
CGON,0.4172402414439691,398
ULTA,0.4168952758735809,399
KLAC,0.4158057207201398,400
COLB,0.415252041965139,401
DRI,0.4076567498488598,402
WSBC,0.4059759517428735,403
MNST,0.4040232224527873,404
AHR,0.4004091248474967,405
POST,0.3995374276718676,406
MAS,0.3994513806439911,407
ACIW,0.3991260996467407,408
BLD,0.3970276272284576,409
NDSN,0.3968080883211345,410
RRR,0.3965572734938264,411
YUM,0.3933493425811982,412
AWI,0.3923148202649097,413
SPHR,0.3914884507965034,414
MRK,0.3903191930763871,415
OMF,0.3866787200818332,416
PFG,0.3864333766372776,417
CNA,0.3850731828769484,418
ATEC,0.3848859784755865,419
GH,0.3823130410279734,420
ED,0.3798304010641309,421
KFY,0.3794435020832446,422
EMN,0.3792905400964323,423
JNJ,0.3792840884979657,424
LMT,0.377004069070659,425
SITE,0.3751809937419156,426
KMT,0.374002937581688,427
WSM,0.3727574721694545,428
AMP,0.3716686433983099,429
RSI,0.3715059754053963,430
VSCO,0.3682072798114177,431
LUV,0.3646765232008119,432
PFS,0.3644588493192029,433
OHI,0.3641706630388555,434
PNW,0.3629275693865461,435
GIS,0.3616581783466078,436
RUSHA,0.3568147697281819,437
OSIS,0.3543657792434124,438
TXT,0.3541366108601056,439
SIRI,0.3535668263916997,440
MUR,0.3529810751470446,441
EXEL,0.3524352244210296,442
CW,0.3521765188947525,443
TECH,0.3518539370286139,444
IQV,0.35185262522206,445
WAL,0.3495133168196531,446
GTM,0.3457986411953512,447
EWBC,0.344118177060018,448
EBC,0.342413242724993,449
AIR,0.3390453638627219,450
CROX,0.3385675057113353,451
UBSI,0.3376258287373235,452
LBRT,0.3372930670632053,453
ELAN,0.3342015783538085,454
AIZ,0.333316692907096,455
VC,0.3326088493598444,456
GAP,0.3311589348596452,457
DKL,0.3311416559175537,458
RMBS,0.3298029189792272,459
HST,0.3253805777255522,460
