symbol,date,signal,score,rank,decile
WBD,2026-02-17,1.4107836220208136,1.4107836220208136,63,D1
SCCO,2026-02-17,1.4007964767286551,1.4007964767286551,64,D1
NGVT,2026-02-17,1.39977392411378,1.39977392411378,65,D1
LNC,2026-02-17,1.3912354440952266,1.3912354440952266,66,D1
KRYS,2026-02-17,1.383428756313471,1.383428756313471,67,D1
APA,2026-02-17,1.378086068316154,1.378086068316154,68,D1
TTMI,2026-02-17,1.3676490501665033,1.3676490501665033,69,D1
BXP,2026-02-17,1.3560378719082165,1.3560378719082165,70,D1
FTAI,2026-02-17,1.340117916697237,1.340117916697237,71,D1
BTSG,2026-02-17,1.3375978192018878,1.3375978192018878,72,D1
PR,2026-02-17,1.3368689416247197,1.3368689416247197,73,D1
VIRT,2026-02-17,1.322126414913916,1.322126414913916,74,D1
COMP,2026-02-17,1.3205882494395436,1.3205882494395436,75,D1
STRK,2026-02-17,1.3121920497939592,1.3121920497939592,76,D1
BBT,2026-02-17,1.3098565583567237,1.3098565583567237,77,D1
TER,2026-02-17,1.308810182220612,1.308810182220612,78,D1
ENS,2026-02-17,1.307693116078706,1.307693116078706,79,D1
CVI,2026-02-17,1.303714620155576,1.303714620155576,80,D1
ALHC,2026-02-17,1.3031447444751552,1.3031447444751552,81,D1
MKSI,2026-02-17,1.272452339854611,1.272452339854611,82,D1
INSW,2026-02-17,1.264389163740385,1.264389163740385,83,D1
KRC,2026-02-17,1.254646589964718,1.254646589964718,84,D1
EXPE,2026-02-17,1.2487288083744637,1.2487288083744637,85,D1
AB,2026-02-17,1.2455088291515537,1.2455088291515537,86,D1
UTHR,2026-02-17,1.2450226851070922,1.2450226851070922,87,D1
REAL,2026-02-17,1.2415183235606664,1.2415183235606664,88,D1
BYD,2026-02-17,1.2363277304770734,1.2363277304770734,89,D1
LEVI,2026-02-17,1.225609144877719,1.225609144877719,90,D1
JXN,2026-02-17,1.2252405154130177,1.2252405154130177,91,D1
BELFB,2026-02-17,1.2227436139103756,1.2227436139103756,92,D1
EE,2026-02-17,1.220022993332092,1.220022993332092,93,D1
FHI,2026-02-17,1.2033021534904844,1.2033021534904844,94,D1
TVTX,2026-02-17,1.198602896787443,1.198602896787443,95,D1
RDDT,2026-02-17,1.198452026395717,1.198452026395717,96,D1
DAL,2026-02-17,1.193523917038192,1.193523917038192,97,D1
SYF,2026-02-17,1.18060018458908,1.18060018458908,98,D1
CIEN,2026-02-17,1.168277237982678,1.168277237982678,99,D1
MLI,2026-02-17,1.1658387556962049,1.1658387556962049,100,D1
