symbol,ret_1d
KRMN,0.0920987654320986
CMC,-0.013089337908247622
UAL,-0.05883862139741736
KRYS,-0.07278760280984153
TPR,-0.0174193548387096
COKE,0.03817018028069774
ACI,-0.010485651214128144
WT,-0.027679623085983485
RNG,-0.005751014884979644
M,-0.03337725076855502
DAR,0.001548287207276955
STT,-0.013957433682911802
HHH,-0.009394194869324357
CMCSA,-0.006962025316455733
INSP,-0.034248788368336
GS,-0.018292225804033335
ACMR,0.011453335396997222
NXT,-0.06779661016949146
ORI,-0.004316546762589968
CACI,0.04269916577011945
WEX,-0.02685703503365
AGX,0.043610547667342736
FE,0.012872905598692252
GHC,-0.003293722552312195
GOOGL,-0.0015824349718127628
WMS,0.006884377758164195
CINF,-0.005206738131699806
GLW,-0.015301871070373285
PRAX,0.008147630194874411
COO,0.003357314148681123
SANM,0.001826422241764103
ARQT,0.04642456008985385
GOOG,-0.0012502467592288014
HAE,0.0006597394029357329
MRCY,0.0369259173782599
PHIN,-0.009340876200500059
ZETA,-0.010101010101010055
AKAM,0.002561522276095518
WFRD,0.006580829756795525
ELV,0.005603049907578539
ATI,0.02874066096789396
FIBK,-0.0032206119162639935
UNH,0.006002775850104225
FRPT,0.023297245443332892
NOC,0.016610791495937027
MIRM,0.003710751665080947
KNX,-0.002527379949452402
EL,0.0012544802867382465
LDOS,0.027633650090363338
BANC,-0.008508508508508594
KRC,0.0068174775333127435
KWR,-0.002866150759530006
FSK,-0.019374068554396384
MAT,0.00810185185185186
RKLB,0.02902445579145385
PAGP,0.005922551252847352
SWX,0.006925207756232732
WCC,-0.00556770729767353
EAT,-0.04863874676268076
FROG,0.05629069523209407
WK,0.01926384588923291
TOL,0.0012499999999999734
MEDP,0.0006051505031714477
TPB,-0.0024130910187770693
MPLX,0.010229276895943551
CECO,-0.002168090804744338
CTSH,-0.02724143092351461
PATH,0.00990990990991003
ACA,0.011862203444913844
BMY,0.00954294324460081
AEIS,-0.0021783780419493137
DCI,-0.0013897896784953456
FAF,0.005743651753325363
WRBY,0.02462620932277937
SSNC,-0.018834204014297362
VLY,-0.008289374529012794
REYN,0.009595327492699202
CBOE,0.002733102070850535
YETI,-0.04794659113898436
SGI,-0.007434531735463823
PRIM,0.03335203540926379
JOE,0.003253182461103288
HAL,0.01725625539257969
RVMD,0.02956208036877439
RMD,-0.010119346491058723
MMS,-0.005047821466524938
YOU,0.004799040191961534
LUMN,0.005006257822277815
BELFB,0.040101270401012634
KHC,0.001670146137787043
ASO,0.000508130081300795
TROW,-0.0060044243126514685
GPN,-0.012429239478218168
GEV,0.020867225246162358
SJM,0.01745751694679165
HIW,0.01774123755949808
LASR,0.024471021159153672
SLM,-0.020502092050209142
AZZ,0.01485594237695076
OMC,0.15364880273660209
DG,-0.0015129588212078326
HP,0.03363035354987076
MET,-0.014137843978793252
GILD,-0.010606259002226004
FCX,0.0003197442046363186
COCO,0.033959248901318295
UGI,0.0081386190601207
CUBI,-0.024416711882799702
NXST,-0.019784097114294075
SAIC,0.02754572138180178
KTB,-0.0029476787030211504
AMAT,0.0026840906626179883
RH,-0.03662727743514904
AMRX,-0.01683501683501687
SKYW,-0.031905801918146404
FBIN,0.00464252553389044
RIOT,0.047127178825048244
MRP,-0.011790949649458149
T,0.0
LYFT,0.013858497447118756
OGE,0.00516240051623984
DTE,0.016898050764268646
CPRX,0.005351996706463691
CTRE,-0.005230386052303859
SXI,0.006615996534478086
ALB,-0.016411634154888444
INTC,-0.018477782666080134
SHC,-0.002865329512893977
PLD,-0.004225452982883349
INGR,0.0010307507301150487
ALRM,-0.00022119000221187957
TPC,0.04685573366214557
VSEC,0.033063551917594136
IBM,-0.017293607883738016
OMF,0.012317437972901635
VZ,0.012278876170655595
SAM,-0.00949895169226822
HYMC,0.03613569321533916
DBRG,0.0
TPG,-0.05810268328755541
NDAQ,-0.008766589553147464
EBAY,0.03127281577026042
XMTR,0.02168632893823741
REGN,-0.012345990708947707
CF,0.0379878939678564
IEP,-0.00996264009962633
SNDR,0.008689607229753316
SEI,-0.016141732283464605
CG,-0.0349726775956285
BWXT,0.03372064276885034
AVTR,-0.006472491909384925
POST,-0.011086474501108556
ARW,0.005554466444487982
LXP,-0.011261730969760242
MMSI,-0.013738250180766465
WES,-0.05489749430523916
ULTA,0.004888166864901011
ACAD,0.04870689655172411
KEX,0.004147104851330408
BKV,0.03935957304869908
EXPE,-0.0197752588448894
DKL,-0.01285347043701801
PVH,0.004759157773291056
NVST,0.007719298245614015
FCN,-0.002336735948837765
INGM,-0.020137299771167072
CGON,0.021916319507335746
CHRW,-0.0036048638760357576
CASY,0.008256294854640744
APLE,-0.0024449877750610804
ED,0.002777528895260284
HXL,-0.007738704904973304
ATMU,0.01260896637608977
WSM,-0.014675640306599402
CRUS,-0.03897794218386075
MTRN,-0.013858926586912457
TRNO,-0.009753124047546469
ADT,0.003816793893129722
DBX,0.0020259319286872746
OII,0.09338168631006338
BSM,0.017520215633423097
LAUR,-0.03162393162393162
APH,0.023488797129899153
ALSN,0.006924852526288827
LMT,0.02569981994736925
KFY,0.003671775223499374
HGV,-0.007418091901916335
