symbol,score,rank,price_signal,price_trade,ret_1d,matched
FOLD,1.6500894784921591,41,,,0.0027972027972027,True
GSAT,1.635797025604458,42,,,-0.0008465966813411,True
AGNC,1.6334870316742025,43,,,0.0008849557522123,True
TDC,1.626108197044417,44,,,0.0064417177914111,True
RL,1.5806483366799184,45,,,0.0204588394062077,True
LQDA,1.5668327447562236,46,,,0.0330969267139478,True
LITE,1.5424318236880146,47,,,-0.0102594850271475,True
HI,1.529579609213182,48,,,,
AMKR,1.520947244806632,49,,,-0.002134927412468,True
CENX,1.5194125210740088,50,,,0.0272039271834729,True
INCY,1.498568351363765,51,,,0.0180901542111506,True
FG,1.4907402791500648,52,,,0.0084063047285463,True
CIFR,1.4675345166141047,53,,,-0.0140664961636829,True
AD,1.4666748360200947,54,,,-0.0310304449648712,True
CSGS,1.466362031986559,55,,,0.0,True
NLY,1.442440984301632,56,,,0.000870322019147,True
LGND,1.4381789098064195,57,,,0.012959308836862,True
GMED,1.436886218858936,58,,,0.0129213483146068,True
SM,1.4316995631299214,59,,,0.0793357933579335,True
WU,1.416230108279131,60,,,0.0222457627118644,True
ARLP,1.4131339801936622,61,,,0.0109332292073409,True
ALL,1.4114808361551088,62,,,-0.0136115297663902,True
WBD,1.4107836220208136,63,,,0.0013913043478259,True
SCCO,1.4007964767286551,64,,,0.0247872340425532,True
NGVT,1.39977392411378,65,,,-0.0197863078749505,True
LNC,1.3912354440952266,66,,,0.006495068559057,True
KRYS,1.383428756313471,67,,,-0.0158073929961087,True
APA,1.378086068316154,68,,,0.0464520848573517,True
TTMI,1.3676490501665033,69,,,0.0336596634033659,True
BXP,1.3560378719082165,70,,,0.0146719419716452,True
FTAI,1.340117916697237,71,,,0.0049343832020998,True
BTSG,1.3375978192018878,72,,,0.0699427977119084,True
PR,1.3368689416247197,73,,,0.0394349617422014,True
VIRT,1.322126414913916,74,,,0.0071647901740021,True
COMP,1.3205882494395436,75,,,0.0356435643564356,True
STRK,1.3121920497939592,76,,,-0.0019120458891014,True
BBT,1.3098565583567237,77,,,0.0094802222948675,True
TER,1.308810182220612,78,,,0.0304061794259156,True
ENS,1.307693116078706,79,,,-0.0118499382230709,True
CVI,1.303714620155576,80,,,-0.0071047957371225,True
ALHC,1.3031447444751552,81,,,-0.0038853812530353,True
MKSI,1.272452339854611,82,,,-0.0478436145128166,True
INSW,1.264389163740385,83,,,0.0147469729897546,True
KRC,1.254646589964718,84,,,0.0144608613643508,True
EXPE,1.2487288083744637,85,,,0.0168146891527791,True
AB,1.2455088291515537,86,,,-0.0082066135650493,True
UTHR,1.2450226851070922,87,,,-0.0132042618465237,True
REAL,1.2415183235606664,88,,,0.0477064220183485,True
BYD,1.2363277304770734,89,,,0.0183850036049026,True
LEVI,1.225609144877719,90,,,0.0192395785616126,True
JXN,1.2252405154130177,91,,,0.0099326308516152,True
BELFB,1.2227436139103756,92,,,-0.0599660008499788,True
EE,1.220022993332092,93,,,0.0004786979415987,True
FHI,1.2033021534904844,94,,,0.0215014577259475,True
TVTX,1.198602896787443,95,,,-0.0306086956521738,True
RDDT,1.198452026395717,96,,,0.0591108238167064,True
DAL,1.193523917038192,97,,,0.0036697247706423,True
SYF,1.18060018458908,98,,,0.0074678467708475,True
CIEN,1.168277237982678,99,,,0.0285449674197069,True
MLI,1.1658387556962049,100,,,-0.0149869495663887,True
GPCR,1.1605105575421175,101,,,-0.0427111048872707,True
APP,1.156566642175629,102,,,0.0744194696848929,True
EPD,1.1484691713017237,103,,,-0.0174149659863945,True
TSLA,1.1405377215093713,104,,,0.0016803448359836,True
TNL,1.1334677386267134,105,,,0.0347241284655504,True
APAM,1.131131496001999,106,,,0.0009436187780136,True
MDB,1.1273698260252003,107,,,0.0245795236482673,True
NATL,1.1206072277466157,108,,,-0.0110901368570082,True
BWA,1.1190882362177856,109,,,-0.0126379779235322,True
PFSI,1.1165059247041471,110,,,0.0232211333617384,True
HII,1.1164628749492436,111,,,0.0168968240672042,True
GL,1.0953987454034737,112,,,-0.0158316770612021,True
FIX,1.0921935237865263,113,,,-0.013664735563446,True
AMTM,1.0919438050226382,114,,,0.027287853577371,True
