symbol,score,rank,ret_1d
AB,1.2455088291515537,86,-0.00820661356504937
UTHR,1.2450226851070922,87,-0.01320426184652379
REAL,1.2415183235606664,88,0.047706422018348515
BYD,1.2363277304770734,89,0.018385003604902694
LEVI,1.225609144877719,90,0.019239578561612625
JXN,1.2252405154130177,91,0.00993263085161522
BELFB,1.2227436139103756,92,-0.05996600084997883
EE,1.220022993332092,93,0.0004786979415987158
FHI,1.2033021534904844,94,0.02150145772594758
TVTX,1.198602896787443,95,-0.030608695652173834
RDDT,1.198452026395717,96,0.059110823816706404
DAL,1.193523917038192,97,0.003669724770642313
SYF,1.18060018458908,98,0.007467846770847553
CIEN,1.168277237982678,99,0.028544967419706913
MLI,1.1658387556962049,100,-0.014986949566388796
GPCR,1.1605105575421175,101,-0.0427111048872707
APP,1.156566642175629,102,0.07441946968489299
EPD,1.1484691713017237,103,-0.01741496598639458
TSLA,1.1405377215093713,104,0.0016803448359836715
TNL,1.1334677386267134,105,0.0347241284655504
APAM,1.131131496001999,106,0.0009436187780136329
MDB,1.1273698260252003,107,0.02457952364826732
NATL,1.1206072277466157,108,-0.011090136857008215
BWA,1.1190882362177856,109,-0.012637977923532273
PFSI,1.1165059247041471,110,0.023221133361738477
HII,1.1164628749492436,111,0.016896824067204275
GL,1.0953987454034737,112,-0.015831677061202143
FIX,1.0921935237865263,113,-0.013664735563446051
AMTM,1.0919438050226382,114,0.02728785357737107
LC,1.0904917772197789,115,0.046421663442940186
SEE,1.0811064474996046,116,-0.0007151370679380209
FSLR,1.0776144886794257,117,0.05538597655385957
MTCH,1.0588536859849973,118,0.0033134526176277213
FTDR,1.0549056412484386,119,-0.00884802220680081
MAT,1.0526070000373675,120,0.026128266033254244
DAVE,1.0431216201859663,121,0.02242228639374888
EIX,1.041561031686789,122,-0.02408288994679364
BA,1.0387277773114565,123,-0.020939190296672572
ONTO,1.0387113878939085,124,-0.0013164465023377536
VCYT,1.0377599529068593,125,0.016097696364141045
ALB,1.03612397490146,126,0.013615912858157886
DBD,1.0344199351837404,127,-0.022886897553887176
PIPR,1.0334859461893473,128,0.027312500000000073
SF,1.0235245182789638,129,0.020150706968080634
WST,1.0161631914436853,130,0.020847896706279068
KTOS,1.0113798671667087,131,0.05697510057627486
PPC,1.0101637902678655,132,0.0064397424103035394
GM,1.0098233327936972,133,0.030164983994090067
